score,lateness,num_posts,avg_post_length,category
50,14,3,441.0,type1
40,36,1,101.0,type1
50,14,1,785.0,type1
50,65,2,273.0,type1
50,-35,2,311.0,type1
50,59,2,554.5,type1
50,43,2,388.5,type1
50,44,3,369.333333333,type1
50,26,1,940.0,type1
50,-34,2,439.0,type1
50,29,2,136.5,type1
50,-5,1,1275.0,type1
50,-28,4,297.25,type1
50,16,5,209.8,type1
50,72,2,487.0,type1
50,68,1,1157.0,type1
50,46,1,620.0,type1
50,15,1,850.0,type1
40,-48,1,515.0,type1
50,16,4,177.0,type1
40,5,2,364.0,type1
40,-42,1,371.0,type1
40,20,3,382.333333333,type1
50,58,3,440.0,type1
40,47,2,687.0,type1
50,71,2,518.0,type1
40,57,1,359.0,type1
50,-13,6,213.666666667,type1
50,25,1,684.0,type1
50,53,1,1132.0,type1
40,-46,5,420.4,type1
50,-13,4,244.5,type1
30,20,1,1262.0,type1
40,-6,5,598.0,type1
0,0,0,0.0,type1
30,-12,3,446.666666667,type1
40,43,4,415.0,type1
50,-6,2,709.0,type1
50,-37,4,514.75,type1
40,-16,1,1662.0,type1
50,-19,4,265.75,type1
50,-38,4,492.5,type1
0,0,0,0.0,type1
30,53,4,385.25,type1
40,-36,6,576.166666667,type1
0,0,0,0.0,type1
40,4,4,405.5,type1
40,-2,2,779.0,type1
50,50,2,487.0,type1
50,-10,1,1770.0,type1
50,-45,2,776.0,type1
40,-1,1,1422.0,type1
40,-38,1,2267.0,type1
50,-40,3,583.333333333,type1
0,0,0,0.0,type1
50,-20,2,669.5,type1
30,-39,4,454.5,type1
0,0,0,0.0,type1
50,-33,5,396.2,type1
0,0,0,0.0,type1
50,-20,6,996.666666667,type1
50,71,7,242.857142857,type1
50,-35,6,569.833333333,type1
40,-3,3,1046.33333333,type1
50,-44,7,511.857142857,type1
50,-5,7,460.714285714,type1
50,-34,10,688.4,type1
50,42,5,583.2,type1
50,69,9,469.0,type1
50,59,8,467.0,type1
50,-44,4,403.5,type1
50,70,7,571.0,type1
50,57,7,543.428571429,type1
50,-35,8,809.125,type1
50,-36,11,627.272727273,type1
50,2,5,647.0,type1
50,-43,7,491.285714286,type1
50,32,3,1225.0,type1
50,-36,5,309.6,type1
50,27,6,554.833333333,type1
50,-23,5,652.4,type1
50,50,2,1450.0,type1
50,38,3,1288.0,type1
50,-40,4,827.75,type1
50,27,2,1625.5,type1
50,40,3,1043.0,type1
50,71,2,1700.0,type1
50,28,3,1106.66666667,type1
40,-7,6,629.5,type1
50,47,2,1948.0,type1
50,-34,7,447.428571429,type1
40,-27,6,344.0,type1
50,-48,4,693.25,type1
50,-21,4,561.5,type1
50,39,7,338.142857143,type1
50,-8,6,772.666666667,type1
50,-32,3,556.333333333,type1
50,-22,3,555.333333333,type1
50,56,4,464.0,type1
40,-33,4,436.5,type1
50,-26,5,189.8,type1
50,-11,3,567.0,type1
50,-3,4,425.5,type1
50,-28,5,940.4,type1
40,-14,5,916.4,type1
40,-17,5,372.8,type1
50,-25,3,507.0,type1
50,-28,2,794.0,type1
50,-18,6,151.333333333,type1
50,-30,1,1254.0,type1
40,-45,2,693.0,type1
50,-27,3,430.0,type1
50,-8,2,1150.0,type1
40,-6,1,1752.0,type1
40,-5,2,866.5,type1
50,38,5,418.0,type1
50,-39,4,356.5,type1
50,-44,2,813.0,type1
50,-39,1,1621.0,type1
50,-35,2,907.5,type1
0,0,0,0.0,type1
50,-38,4,238.5,type1
50,-30,6,465.333333333,type1
50,-12,7,336.857142857,type1
50,-39,5,477.4,type1
50,-48,5,957.0,type1
40,-42,6,737.333333333,type1
50,-4,5,604.0,type1
40,-41,3,566.666666667,type1
50,-11,5,713.6,type1
0,0,0,0.0,type1
50,-5,7,295.285714286,type1
50,-1,3,710.333333333,type1
50,-23,6,920.666666667,type1
40,-37,4,924.0,type1
50,-6,3,602.333333333,type1
50,-32,3,654.666666667,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
40,-17,1,1831.0,type1
50,-40,2,896.5,type1
50,-33,1,2198.0,type1
40,-32,2,1112.5,type1
50,-26,1,2017.0,type1
50,-46,4,596.75,type1
50,-20,5,483.0,type1
50,-27,2,949.5,type1
40,-1,2,1057.0,type1
50,-12,2,1240.0,type1
40,-11,2,229.5,type1
0,0,0,0.0,type1
30,16,1,585.0,type1
40,-39,5,223.0,type1
30,-44,2,255.0,type1
40,-48,3,611.333333333,type1
0,0,0,0.0,type1
40,15,1,597.0,type1
40,23,3,499.666666667,type1
40,-21,2,296.0,type1
30,-11,1,380.0,type1
40,63,1,218.0,type1
50,-18,2,518.0,type1
0,0,0,0.0,type1
40,-3,1,811.0,type1
50,-40,1,300.0,type1
50,-23,1,258.0,type1
50,30,2,428.0,type1
40,-13,1,272.0,type1
30,-35,2,390.5,type1
50,-36,2,224.0,type1
30,29,1,286.0,type1
30,43,2,530.0,type1
50,-30,1,625.0,type1
40,-21,1,392.0,type1
50,59,1,431.0,type1
0,0,0,0.0,type1
30,-45,3,200.666666667,type1
40,-34,1,462.0,type1
0,0,0,0.0,type1
30,-24,9,419.111111111,type1
40,-25,7,261.142857143,type1
50,46,8,506.25,type1
40,-21,8,1263.25,type1
40,-41,7,591.285714286,type1
40,-19,8,761.25,type1
40,-12,9,781.666666667,type1
40,72,6,557.5,type1
30,67,6,590.166666667,type1
50,1,6,508.333333333,type1
50,-4,6,256.833333333,type1
40,-6,7,489.571428571,type1
0,0,0,0.0,type1
30,51,7,517.857142857,type1
40,-15,5,677.6,type1
40,35,7,533.571428571,type1
50,10,5,594.6,type1
40,-34,4,979.75,type1
0,0,0,0.0,type1
50,-41,7,491.857142857,type1
40,54,5,638.0,type1
40,-23,8,420.375,type1
50,4,1,3833.0,type1
30,53,3,1180.0,type1
50,52,3,1003.33333333,type1
30,-42,3,1210.0,type1
0,0,0,0.0,type1
30,21,3,1108.66666667,type1
50,-2,3,1088.0,type1
40,-25,3,1342.66666667,type1
50,-15,7,410.0,type1
40,-43,6,180.666666667,type1
40,-14,4,343.0,type1
40,28,4,507.75,type1
40,3,2,404.0,type1
30,-40,2,300.0,type1
50,-18,2,561.0,type1
40,-47,5,194.0,type1
40,8,3,293.666666667,type1
30,43,2,339.0,type1
50,-29,2,160.0,type1
40,-6,3,374.333333333,type1
30,28,2,713.0,type1
40,-29,3,585.666666667,type1
30,-8,4,360.75,type1
50,-23,4,247.75,type1
40,71,2,455.5,type1
40,-15,1,863.0,type1
30,63,4,142.75,type1
40,6,2,320.5,type1
40,-8,6,282.5,type1
40,-48,4,240.75,type1
50,-33,3,391.666666667,type1
50,-9,1,913.0,type1
50,-19,1,657.0,type1
40,-31,3,281.666666667,type1
50,69,5,320.4,type1
40,-1,2,455.0,type1
40,15,2,434.0,type1
30,-28,3,307.0,type1
30,44,9,443.777777778,type1
50,8,8,228.125,type1
0,0,0,0.0,type1
40,61,8,466.5,type1
30,12,7,459.714285714,type1
40,-30,10,636.9,type1
40,62,8,880.25,type1
50,53,7,481.0,type1
50,13,8,464.375,type1
40,26,6,555.166666667,type1
40,26,4,336.5,type1
50,11,7,496.714285714,type1
40,34,9,824.444444444,type1
50,-7,9,1088.44444444,type1
50,45,9,371.111111111,type1
40,34,5,706.0,type1
30,23,5,685.2,type1
40,56,3,1210.66666667,type1
40,65,3,343.0,type1
40,46,5,711.4,type1
40,68,1,2738.0,type1
0,0,0,0.0,type1
50,46,3,1389.0,type1
50,8,4,938.5,type1
40,26,3,1092.66666667,type1
0,0,0,0.0,type1
40,32,1,2756.0,type1
50,50,4,815.5,type1
30,-16,3,1015.66666667,type1
0,0,0,0.0,type1
40,5,6,502.333333333,type1
50,-26,5,223.6,type1
50,-41,5,494.6,type1
50,-26,3,1514.33333333,type1
50,-31,3,598.333333333,type1
40,-43,4,1120.25,type1
40,-33,5,372.4,type1
40,-47,4,502.5,type1
40,-15,5,432.8,type1
40,-11,4,434.25,type1
40,-43,3,92.3333333333,type1
50,-15,5,735.6,type1
50,-18,3,1057.0,type1
50,7,8,606.0,type1
50,-47,3,942.0,type1
50,-1,2,665.0,type1
40,44,4,442.5,type1
40,-18,2,926.5,type1
40,-4,2,386.5,type1
30,36,2,730.0,type1
30,-42,2,924.5,type1
40,-4,4,438.0,type1
40,-9,1,2110.0,type1
40,-44,2,667.5,type1
40,-33,2,668.5,type1
50,-12,2,889.5,type1
50,44,2,878.5,type1
50,-33,1,1326.0,type1
40,-28,4,498.75,type1
40,-2,2,953.0,type1
50,13,4,770.25,type1
0,0,0,0.0,type1
50,2,3,590.0,type1
50,-48,6,544.5,type1
50,-16,2,297.5,type1
50,-48,3,845.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
40,-43,3,555.666666667,type1
40,60,3,572.0,type1
50,42,5,132.8,type1
50,68,2,717.0,type1
50,-8,4,490.25,type1
40,-21,2,500.0,type1
50,-33,4,742.25,type1
40,54,4,317.75,type1
40,-1,2,491.5,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
40,28,3,398.666666667,type1
30,62,1,1031.0,type1
50,-9,1,776.0,type1
30,-32,3,449.0,type1
40,67,1,1240.0,type1
40,28,1,974.0,type1
50,-29,1,794.0,type1
40,-14,2,310.0,type1
50,-7,3,417.333333333,type1
