score,lateness,num_posts,avg_post_length,category
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,-26,2,1427.5,type1
4.0,-15,3,761.666666667,type1
4.0,-38,3,52.6666666667,type1
4.0,-54,3,1474.33333333,type1
3.5,-57,1,4535.0,type1
4.0,-7,3,1595.33333333,type1
4.0,-57,2,1210.5,type1
4.0,-3,2,1028.5,type1
4.0,-45,3,566.333333333,type1
0,-33,2,2762.5,type1
0,-61,2,2480.0,type1
3.0,-14,1,2393.0,type1
0,-86,3,1037.66666667,type1
0,-105,3,1742.66666667,type1
4.0,-34,2,1576.0,type1
4.0,-33,2,2090.0,type1
5.0,-58,4,1086.75,type1
4.0,-51,2,1318.0,type1
5.0,-49,3,2264.0,type1
4.0,-34,4,1052.5,type1
4.0,-26,2,771.0,type1
5.0,-13,1,1711.0,type1
4.0,-38,3,636.666666667,type1
5.0,-62,3,1059.33333333,type1
5.0,0,4,1075.5,type1
4.0,-44,5,465.2,type1
4.0,-55,2,583.0,type1
4.7,-80,3,1263.66666667,type1
4.5,-33,5,591.4,type1
4.0,-37,3,746.666666667,type1
5.0,-13,1,3074.0,type1
4.0,-38,3,605.0,type1
0,0,0,0.0,type1
5.0,-13,3,2019.66666667,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
4.0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
4.0,-2,1,3079.0,type1
0,0,0,0.0,type1
3.0,9,1,2369.0,type1
4.0,-8,4,1308.5,type1
0,-2,2,1536.0,type1
4.0,-1,2,741.5,type1
5.0,-1,3,302.0,type1
2.5,-4,1,2139.0,type1
4.0,-7,3,800.666666667,type1
5.0,-2,6,1010.5,type1
3.5,-1,1,2338.0,type1
5.0,-7,3,1265.33333333,type1
4.0,0,2,1215.0,type1
0,-9,1,1965.0,type1
0,-3,1,1276.0,type1
3.4,0,3,1046.33333333,type1
0,-15,2,1213.5,type1
3.2,-60,1,1966.0,type1
5.0,-10,3,883.666666667,type1
2.0,-5,1,1282.0,type1
4.0,-4,2,1190.0,type1
4.0,-4,2,1605.5,type1
5.0,0,5,605.8,type1
5.0,-14,6,1034.16666667,type1
4.0,-1,2,432.0,type1
4.0,-57,1,786.0,type1
4.0,-3,1,561.0,type1
3.0,19,1,695.0,type1
4.0,-8,1,861.0,type1
4.0,6,1,814.0,type1
4.0,-3,1,897.0,type1
4.0,-3,1,883.0,type1
4.0,-8,1,357.0,type1
3.0,-2,1,681.0,type1
3.5,-2,1,927.0,type1
4.0,-1,1,981.0,type1
0,0,0,0.0,type1
3.5,32,2,1240.5,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
4.0,-16,2,449.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
4.0,-4,2,1075.5,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,0,0,0.0,type1
0,-2,2,1530.5,type1
4.0,-6,2,285.5,type1
4.0,0,2,142.0,type1
4.0,-79,4,521.5,type1
4.0,0,2,756.0,type1
4.0,-1,2,773.0,type1
4.0,-11,3,488.666666667,type1
